date	measured_at	service_version	sharded_total	legacy_total	legacy_namespace_cap	legacy_at_cap	rooms_enumerated	rooms_cap	shards_with_notes	shards_unreadable	shard_min	shard_median	shard_max
2026-08-26	2026-08-26T01:26:02.578Z	0.9.3	73419	40960	40960	true			256	0	241	287	338
2026-08-27	2026-08-27T12:49:43.395Z	0.10.0	268161	50960	50960	true			256	0	956	1049	1143
2026-08-28	2026-08-28T05:22:51.168Z	0.10.0	381107	50959	50960	false	19135	20480	256	0	1399	1491	1635
2026-08-30	2026-08-30T08:32:04.215Z	0.10.0	802934	97049	131072	false	45305	81920	256	0	2958	3127	3405
2026-08-31	2026-08-31T00:04:52.821Z	0.10.0	919815	101648	131072	false	41006	81920	256	0	3394	3587	3882
2026-09-01	2026-09-01T07:52:18.178Z	0.11.2	1478309	103974	131072	false	58321	81920	256	0	5544	5771	6113
2026-09-02	2026-09-02T07:19:11.727Z	0.11.3	1637135	131501	131072	true	49366	81920	256	0	6126	6386	6927
2026-09-03	2026-09-03T07:13:23.857Z	0.11.4	1654968	131072	131072	true	54449	81920	256	0	6218	6457	6989
2026-09-04	2026-09-04T07:18:06.330Z	0.11.4	2002923	141245	163840	false	69417	163840	256	0	7599	7824	8386
2026-09-05	2026-09-05T07:02:15.484Z	0.12.0	1939571	163574	163840	false	54413	81920	256	0	7333	7571	8159
2026-09-06	2026-09-06T07:10:42.114Z	0.12.1	2084417	163850	163840	true	75166	163840	256	0	7902	8140	8752
2026-09-07	2026-09-07T07:24:56.422Z	0.12.1	2084473	163854	163840	true	71202	163840	256	0	7924	8138	8759
2026-09-08	2026-09-08T01:00:28.550Z	0.13.0	1737453	163847	163840	true	61664	163840	256	0	6522	6784	7342
2026-09-09	2026-09-09T07:26:16.400Z	0.13.0	1542227	163194	163840	false	89390	163840	256	0	5749	6020	6617
2026-09-10	2026-09-10T07:23:11.918Z	0.13.0	1542637	163726	163840	false	45887	163840	256	0	5754	6027	6597
2026-09-11	2026-09-11T07:22:01.908Z	0.13.0	1356597	158438	163840	false	46055	163840	256	0	5091	5295	5807
2026-09-12	2026-09-12T07:13:32.957Z	0.13.0	1345689	173249	250000	false	43862	250000	256	0	5032	5253	5737
2026-09-13	2026-09-13T07:32:19.057Z	0.13.0	1503837	248445	250000	false	42653	250000	256	0	5665	5871	6344
2026-09-14	2026-09-14T08:00:11.424Z	0.13.0	1689524	249992	250000	false	57002	250000	256	0	6379	6597	7040
2026-09-15	2026-09-15T07:53:00.313Z	0.13.0	1895125	249165	250000	false	89390	163840	256	0	7139	7399	7882
2026-09-16	2026-09-16T07:48:33.675Z	0.13.0	1954182	220394	250000	false	54333	250000	256	0	7359	7631	7920
2026-09-17	2026-09-17T07:48:33.547Z	0.13.0	2056103	214638	250000	false	89390	163840	256	0	7762	8027	8315
2026-09-18	2026-09-18T07:30:21.312Z	0.13.0	2089546	225640	250000	false	89390	163840	256	0	7893	8157	8461
2026-09-19	2026-09-19T07:28:32.899Z	0.13.0	2142612	205490	300000	false	89390	163840	256	0	8097	8369	8630
2026-09-20	2026-09-20T07:50:30.582Z	0.13.0	1890576	151012	300000	false	46802	300000	256	0	7156	7387	7629
2026-09-21	2026-09-21T08:05:45.803Z	0.13.0	1762588	159707	300000	false	89390	163840	256	0	6681	6882	7296
2026-09-22	2026-09-22T07:50:49.972Z	0.13.0	1542138		300000	false	64459	300000	256	0	5816	6023	6420
2026-09-23	2026-09-23T07:48:54.387Z	0.14.0	1480483	171880	300000	false	89390	163840	256	0	5601	5786	6181
2026-09-24	2026-09-24T07:38:37.505Z	0.14.5	1531186	195286	300000	false	59943	300000	256	0	5809	5981	6404
2026-09-25	2026-09-25T12:37:58.870Z	0.14.5	2072417	187850	300000	false	62577	300000	256	0	7870	8096	8529
